Job_Title,Industry,Experience_In_Current_Role,Annual_Compensation,ML_In_Use
Not employed,,0,,
Data Scientist,Manufacturing/Fabrication,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,3-4,"20-30,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Insurance/Risk Assessment,0-1,"100-125,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Engineer,Computers/Technology,5-10,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Medical/Pharmaceutical,0-1,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Other,Accounting/Finance,4-5,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Analyst,,0,,
Data Analyst,Accounting/Finance,1-2,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Marketing/CRM,2-3,"70-80,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Chief Officer,Medical/Pharmaceutical,10-15,"200-250,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,0,,I do not know
Data Scientist,Broadcasting/Communications,3-4,"125-150,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Online Service/Internet-based Services,1-2,"100-125,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Computers/Technology,0-1,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Other,Academics/Education,5-10,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Software Engineer,Insurance/Risk Assessment,5-10,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Research Assistant,Academics/Education,1-2,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Manager,Shipping/Transportation,2-3,"40-50,000",No (we do not use ML methods)
Research Scientist,Academics/Education,20-25,"125-150,000",We are exploring ML methods (and may one day put a model into production)
Marketing Analyst,Marketing/CRM,0-1,"20-30,000",No (we do not use ML methods)
Business Analyst,Computers/Technology,2-3,"10-20,000",No (we do not use ML methods)
Data Analyst,Academics/Education,10-15,"70-80,000",We are exploring ML methods (and may one day put a model into production)
Not employed,,0,,
Business Analyst,Online Business/Internet-based Sales,1-2,"40-50,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Online Service/Internet-based Services,1-2,"40-50,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,5-10,"100-125,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Other,Non-profit/Service,1-2,I do not wish to disclose my approximate yearly compensation,I do not know
Research Scientist,Broadcasting/Communications,4-5,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Energy/Mining,0-1,"70-80,000",We are exploring ML methods (and may one day put a model into production)
Manager,Computers/Technology,15-20,"70-80,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Analyst,Hospitality/Entertainment/Sports,2-3,"90-100,000",We use ML methods for generating insights (but do not put working models into production)
Not employed,,0,,
Research Assistant,Academics/Education,4-5,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,1-2,"0-10,000",No (we do not use ML methods)
Data Scientist,Hospitality/Entertainment/Sports,3-4,"100-125,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
DBA/Database Engineer,Shipping/Transportation,2-3,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Data Scientist,Retail/Sales,0-1,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0,,I do not know
Student,Manufacturing/Fabrication,3-4,"0-10,000",No (we do not use ML methods)
Data Scientist,Government/Public Service,3-4,"20-30,000",No (we do not use ML methods)
Data Analyst,Medical/Pharmaceutical,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Business Analyst,Retail/Sales,2-3,"10-20,000",No (we do not use ML methods)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Product/Project Manager,Computers/Technology,15-20,"250-300,000",We are exploring ML methods (and may one day put a model into production)
Research Assistant,Medical/Pharmaceutical,15-20,"90-100,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Research Assistant,I am a student,0-1,"10-20,000",No (we do not use ML methods)
Data Scientist,Insurance/Risk Assessment,3-4,"100-125,000",We are exploring ML methods (and may one day put a model into production)
Other,Energy/Mining,5-10,"60-70,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,15-20,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Data Analyst,Energy/Mining,2-3,"20-30,000",We use ML methods for generating insights (but do not put working models into production)
Student,Manufacturing/Fabrication,1-2,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Research Assistant,Academics/Education,2-3,"50-60,000",No (we do not use ML methods)
Consultant,Computers/Technology,1-2,"0-10,000",No (we do not use ML methods)
Software Engineer,Online Service/Internet-based Services,15-20,"50-60,000",No (we do not use ML methods)
Student,I am a student,0-1,"0-10,000",I do not know
Business Analyst,Accounting/Finance,3-4,"70-80,000",No (we do not use ML methods)
Data Scientist,Accounting/Finance,0-1,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,I am a student,0-1,,No (we do not use ML methods)
Data Analyst,Government/Public Service,5-10,"0-10,000",No (we do not use ML methods)
Manager,Computers/Technology,10-15,I do not wish to disclose my approximate yearly compensation,I do not know
Student,I am a student,0-1,"0-10,000",I do not know
Student,Academics/Education,1-2,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,Government/Public Service,10-15,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Software Engineer,Medical/Pharmaceutical,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,Academics/Education,4-5,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Marketing/CRM,1-2,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Research Scientist,Online Service/Internet-based Services,0-1,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Not employed,,0,,
Software Engineer,Computers/Technology,5-10,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Online Service/Internet-based Services,5-10,"50-60,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,1-2,I do not wish to disclose my approximate yearly compensation,I do not know
Research Scientist,Insurance/Risk Assessment,0-1,"80-90,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,1-2,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Manager,Insurance/Risk Assessment,2-3,"20-30,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Other,0-1,"60-70,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Other,2-3,"50-60,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Scientist,I am a student,2-3,"20-30,000",We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Online Business/Internet-based Sales,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Principal Investigator,Academics/Education,20-25,"100-125,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,20-25,"200-250,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Student,I am a student,0,,I do not know
Data Engineer,Computers/Technology,2-3,"125-150,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Accounting/Finance,1-2,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Accounting/Finance,0-1,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Consultant,Manufacturing/Fabrication,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,"0-10,000",I do not know
Research Scientist,Academics/Education,2-3,"30-40,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,1-2,"0-10,000",I do not know
Software Engineer,Energy/Mining,0-1,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Accounting/Finance,5-10,"250-300,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Scientist,Computers/Technology,4-5,"125-150,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Insurance/Risk Assessment,0-1,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Business Analyst,Academics/Education,3-4,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Product/Project Manager,Accounting/Finance,5-10,"90-100,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,2-3,"0-10,000",No (we do not use ML methods)
Research Assistant,Academics/Education,0-1,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Not employed,,0,,
Student,I am a student,4-5,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Student,Academics/Education,1-2,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Business Analyst,Energy/Mining,10-15,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Statistician,Academics/Education,15-20,"0-10,000",I do not know
Research Scientist,Academics/Education,0-1,"60-70,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Student,Academics/Education,5-10,,I do not know
Consultant,Non-profit/Service,0-1,"60-70,000",No (we do not use ML methods)
Student,Academics/Education,2-3,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Engineer,Retail/Sales,5-10,"150-200,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Manager,Energy/Mining,1-2,"90-100,000",We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Computers/Technology,10-15,"125-150,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Insurance/Risk Assessment,1-2,"60-70,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Accounting/Finance,0-1,"50-60,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,10-15,"0-10,000",I do not know
Research Scientist,Academics/Education,1-2,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Research Scientist,Government/Public Service,5-10,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Assistant,Academics/Education,1-2,"20-30,000",I do not know
Data Analyst,Broadcasting/Communications,0-1,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
DBA/Database Engineer,Energy/Mining,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Consultant,Computers/Technology,4-5,"100-125,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,1-2,"70-80,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Scientist,Government/Public Service,2-3,"90-100,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Government/Public Service,4-5,"125-150,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Computers/Technology,1-2,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Government/Public Service,4-5,"60-70,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Engineer,Other,4-5,"60-70,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Scientist,Academics/Education,5-10,"50-60,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Consultant,Accounting/Finance,3-4,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Military/Security/Defense,2-3,"20-30,000",We use ML methods for generating insights (but do not put working models into production)
Salesperson,Energy/Mining,5-10,"10-20,000",No (we do not use ML methods)
Research Assistant,I am a student,2-3,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Accounting/Finance,20-25,"20-30,000",No (we do not use ML methods)
Data Scientist,Military/Security/Defense,10-15,"70-80,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Energy/Mining,5-10,"80-90,000",We use ML methods for generating insights (but do not put working models into production)
Consultant,Manufacturing/Fabrication,25-30,"100-125,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,"10-20,000",No (we do not use ML methods)
Consultant,Online Service/Internet-based Services,2-3,"50-60,000",No (we do not use ML methods)
Software Engineer,Energy/Mining,1-2,"70-80,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Insurance/Risk Assessment,2-3,"90-100,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
DBA/Database Engineer,Academics/Education,1-2,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Manager,Government/Public Service,15-20,"90-100,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Shipping/Transportation,2-3,"60-70,000",No (we do not use ML methods)
Research Scientist,Academics/Education,1-2,"30-40,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Accounting/Finance,0-1,"0-10,000",No (we do not use ML methods)
Student,I am a student,1-2,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Medical/Pharmaceutical,0-1,"90-100,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Student,I am a student,0-1,"0-10,000",No (we do not use ML methods)
Student,I am a student,0-1,"0-10,000",No (we do not use ML methods)
Data Scientist,Computers/Technology,1-2,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Scientist,Academics/Education,2-3,"60-70,000",I do not know
Data Analyst,Government/Public Service,4-5,"60-70,000",No (we do not use ML methods)
Other,Computers/Technology,2-3,"80-90,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,10-15,"20-30,000",No (we do not use ML methods)
Data Analyst,Other,0-1,,We are exploring ML methods (and may one day put a model into production)
Data Analyst,Accounting/Finance,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Accounting/Finance,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Manager,Computers/Technology,5-10,"40-50,000",We are exploring ML methods (and may one day put a model into production)
Other,Online Service/Internet-based Services,0-1,"0-10,000",I do not know
Student,I am a student,3-4,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,Computers/Technology,0-1,"0-10,000",I do not know
Software Engineer,Computers/Technology,5-10,"90-100,000",No (we do not use ML methods)
Student,I am a student,15-20,"20-30,000",We use ML methods for generating insights (but do not put working models into production)
Research Assistant,Computers/Technology,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Insurance/Risk Assessment,2-3,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Data Analyst,Government/Public Service,1-2,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Consultant,Academics/Education,15-20,"90-100,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Insurance/Risk Assessment,2-3,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Medical/Pharmaceutical,2-3,"100-125,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,2-3,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Research Scientist,Military/Security/Defense,3-4,"10-20,000",No (we do not use ML methods)
Other,Retail/Sales,4-5,"40-50,000",No (we do not use ML methods)
Software Engineer,Manufacturing/Fabrication,0-1,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Principal Investigator,Academics/Education,10-15,"90-100,000",No (we do not use ML methods)
Data Scientist,I am a student,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Accounting/Finance,0-1,"60-70,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,I am a student,0-1,"0-10,000",No (we do not use ML methods)
Other,Accounting/Finance,5-10,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Research Scientist,Academics/Education,3-4,"50-60,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Computers/Technology,2-3,"80-90,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Energy/Mining,2-3,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Product/Project Manager,Non-profit/Service,4-5,"60-70,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,2-3,I do not wish to disclose my approximate yearly compensation,I do not know
Data Engineer,Computers/Technology,4-5,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Other,Retail/Sales,10-15,"150-200,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Consultant,Computers/Technology,25-30,"0-10,000",No (we do not use ML methods)
Data Analyst,Computers/Technology,20-25,"40-50,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Computers/Technology,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Insurance/Risk Assessment,1-2,"90-100,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,0-1,"0-10,000",No (we do not use ML methods)
Data Analyst,Hospitality/Entertainment/Sports,1-2,I do not wish to disclose my approximate yearly compensation,I do not know
Student,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Student,I am a student,10-15,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Online Service/Internet-based Services,1-2,"125-150,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Engineer,Computers/Technology,1-2,"10-20,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Accounting/Finance,0-1,"200-250,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Scientist,Academics/Education,1-2,"40-50,000",No (we do not use ML methods)
Data Scientist,I am a student,4-5,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Not employed,,0,,
Not employed,,0,,
Business Analyst,Computers/Technology,0-1,"30-40,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Not employed,,0,,
Data Scientist,Marketing/CRM,5-10,,
Not employed,,0,,
Data Scientist,Accounting/Finance,2-3,"20-30,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,4-5,,We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,"0-10,000",I do not know
Software Engineer,Computers/Technology,1-2,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,10-15,"100-125,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Accounting/Finance,2-3,"100-125,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Marketing Analyst,Computers/Technology,5-10,"150-200,000",We are exploring ML methods (and may one day put a model into production)
Consultant,Computers/Technology,20-25,"90-100,000",We are exploring ML methods (and may one day put a model into production)
Other,Computers/Technology,3-4,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Research Scientist,Computers/Technology,10-15,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Academics/Education,4-5,"70-80,000",We use ML methods for generating insights (but do not put working models into production)
Research Assistant,I am a student,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,10-15,"40-50,000",No (we do not use ML methods)
Data Analyst,Energy/Mining,15-20,"90-100,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,Academics/Education,1-2,"20-30,000",We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Manager,Manufacturing/Fabrication,2-3,"20-30,000",No (we do not use ML methods)
Software Engineer,Online Business/Internet-based Sales,10-15,"10-20,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Computers/Technology,1-2,"70-80,000",We are exploring ML methods (and may one day put a model into production)
Student,Academics/Education,5-10,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,I am a student,0-1,,I do not know
Other,Other,10-15,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Data Analyst,Other,2-3,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Business Analyst,Other,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,"0-10,000",I do not know
Student,I am a student,0-1,"0-10,000",I do not know
Product/Project Manager,Manufacturing/Fabrication,25-30,"90-100,000",No (we do not use ML methods)
Other,Computers/Technology,0-1,"70-80,000",No (we do not use ML methods)
Software Engineer,Accounting/Finance,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,"0-10,000",I do not know
Data Analyst,Academics/Education,1-2,"60-70,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,3-4,,I do not know
Data Scientist,Military/Security/Defense,1-2,"30-40,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,I am a student,0,,We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Other,4-5,"100-125,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,2-3,,We are exploring ML methods (and may one day put a model into production)
Not employed,,0,,
Software Engineer,Hospitality/Entertainment/Sports,25-30,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Academics/Education,1-2,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Analyst,Online Business/Internet-based Sales,0-1,"0-10,000",I do not know
Data Analyst,Other,0-1,"40-50,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Academics/Education,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Not employed,,0,,
Consultant,Online Service/Internet-based Services,10-15,"90-100,000",We use ML methods for generating insights (but do not put working models into production)
,,0,,
Data Scientist,Online Service/Internet-based Services,0-1,"100-125,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Academics/Education,5-10,"60-70,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Energy/Mining,5-10,"30-40,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Online Service/Internet-based Services,30 +,"200-250,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,0-1,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Other,Academics/Education,1-2,"10-20,000",We use ML methods for generating insights (but do not put working models into production)
Research Scientist,Academics/Education,1-2,"70-80,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Computers/Technology,1-2,"100-125,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Data Analyst,Academics/Education,10-15,"90-100,000",No (we do not use ML methods)
Data Scientist,Online Service/Internet-based Services,0-1,"100-125,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,0-1,"0-10,000",I do not know
Student,I am a student,0,I do not wish to disclose my approximate yearly compensation,I do not know
Chief Officer,Other,10-15,,"We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,15-20,"0-10,000",I do not know
Software Engineer,Manufacturing/Fabrication,4-5,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,10-15,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Scientist,Shipping/Transportation,5-10,"90-100,000",We use ML methods for generating insights (but do not put working models into production)
Research Scientist,Academics/Education,5-10,"10-20,000",No (we do not use ML methods)
Data Scientist,Computers/Technology,0-1,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,5-10,"100-125,000",We are exploring ML methods (and may one day put a model into production)
Statistician,Medical/Pharmaceutical,15-20,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,I am a student,2-3,"20-30,000",We use ML methods for generating insights (but do not put working models into production)
Manager,Computers/Technology,10-15,"150-200,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Insurance/Risk Assessment,3-4,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Product/Project Manager,Computers/Technology,10-15,"60-70,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Medical/Pharmaceutical,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,Academics/Education,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Other,Academics/Education,15-20,"125-150,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Insurance/Risk Assessment,5-10,"125-150,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,5-10,I do not wish to disclose my approximate yearly compensation,I do not know
Software Engineer,Online Business/Internet-based Sales,4-5,"40-50,000",We are exploring ML methods (and may one day put a model into production)
,,0,,
Other,Academics/Education,0-1,"90-100,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Non-profit/Service,1-2,"30-40,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Computers/Technology,0-1,"40-50,000",We are exploring ML methods (and may one day put a model into production)
Research Scientist,Academics/Education,10-15,"50-60,000",I do not know
Software Engineer,Insurance/Risk Assessment,3-4,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Developer Advocate,Computers/Technology,5-10,"200-250,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Computers/Technology,4-5,"60-70,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Not employed,,0,,
Other,Accounting/Finance,1-2,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Research Assistant,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Other,Academics/Education,4-5,,I do not know
Data Analyst,Computers/Technology,2-3,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Manager,Other,0-1,"50-60,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,20-25,,No (we do not use ML methods)
Research Scientist,Government/Public Service,1-2,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Research Scientist,Academics/Education,3-4,"60-70,000",We use ML methods for generating insights (but do not put working models into production)
Other,Accounting/Finance,0-1,"150-200,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Research Scientist,Medical/Pharmaceutical,0-1,"40-50,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Computers/Technology,0-1,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Chief Officer,Computers/Technology,20-25,"200-250,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Research Assistant,Medical/Pharmaceutical,0-1,"10-20,000",No (we do not use ML methods)
Manager,Other,1-2,"80-90,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
